1427507.569,,,,,,,
    (KSh million),,,,,,,
Year/Month/,Amount,Tenor,Type of,Amount,Amount,Amount,Amount
Quarter,Offered,(years),Treasury bond,allotted,rejected,redeemed,outstanding
,,5,Discounted fixed,,,11968.75,
,,5,Discounted fixed,,,1723.4,
,,5,Discounted fixed,,,1280.95,
,,6,Discounted fixed,,,9193.7,1073926.13
December,,9,infrastructure Bond,16548.95,,,
,,9,infrastructure Bond,4711.35,,,
,,9,infrastructure Bond,2383.3,,,
,,2,Discounted fixed,,,25251,
,,,,,,,1072318.73
2016,,9,infrastructure Bond,1475.95,,,
January,,10,Discounted fixed,4737.7,,,
,,2,Discounted fixed,20153.75,,,
,,5,Discounted fixed,,,10810.2,
,,5,Discounted fixed,,,11272.9,
,,,,,,,1076603.03
February,,5,Discounted fixed,12928.15,,,
,,10,Discounted fixed,18469.95,,,
,,6,infrastructure Bond,,,8776.47,1099224.66
March,,15,Discounted fixed,9615.4,,,
,,10,Discounted fixed,,,3451.05,
,,10,Discounted fixed,9958.4,,,
,,2,Discounted fixed,,,19976.4,1095371.01
April,,5,Discounted fixed,19544.2,,,
,,1,Discounted fixed,,,10241.38,1104673.83
May,,9,infrastructure Bond,36303.2,,,
,,2,Discounted fixed,4717.9,,,
,,10,Discounted fixed,,,5028.1,
,,2,Discounted fixed,,,12267.45,
,,2,Discounted fixed,,,7862.7,1120536.68
Jun,,2,Discounted fixed,25500.45,, -   ,
,,15,Discounted fixed,6004.15,, -   ,1152041.28
July,,20,Discounted fixed,9683.35,, -   ,
,,5,Discounted fixed,24395.3,, -   ,1186119.93
August,,10,Discounted fixed,18306.45,,14200,1190226.38
